,LOCATION,ROOM,QUARTER_INDEX,QUARTER,COURSE_ID,COURSE_NUM,SECTION,INSTRUCTOR_LAST,INSTRUCTOR_FIRST,SECTION_SIZE,RESPONSE_SIZE,RATING,Question_7,Question_9,Question_14,Question_15
655397,EBU3B,B240 ,90,SP18,CSE,8A,939980,Cao,Yingjun,46,42,4.404761905,4.404761905,4.3571428569999995,4.6428571430000005,4.785714286
655418,EBU3B,B240 ,90,SP18,CSE,8A,939981,Cao,Yingjun,42,38,4.078947368,4.078947368,3.710526316,4.3684210530000005,4.351351351
655439,EBU3B,B240 ,90,SP18,CSE,8A,939982,Cao,Yingjun,44,40,4.15,4.15,3.95,4.5,4.65
655460,PCYNH,106,90,SP18,CSE,8B,938511,Cao,Yingjun,122,78,4.205128205,4.205128205,3.7792207789999996,4.615384615,4.576923077
827344,CENTR,101,70,WI16,CSE,8B,860856,Cao,Yingjun,238,204,4.156862745,4.156862745,4.064039408999999,4.56372549,4.517241379
827365,CENTR,101,70,WI16,CSE,8B,863252,Cao,Yingjun,250,205,4.16097561,4.16097561,3.9560975610000004,4.596059113,4.517241379
882197,CENTR,216,80,WI17,CSE,8B,894512,Cao,Yingjun,110,87,4.402298851,4.402298851,4.103448276,4.627906977,4.632183908
882218,PCYNH,106,80,WI17,CSE,8B,894514,Cao,Yingjun,116,97,4.432989691,4.432989691,4.270833333,4.608247423,4.635416667
882239,LEDDN,AUD  ,80,WI17,CSE,8B,895680,Cao,Yingjun,161,138,4.34057971,4.34057971,4.09352518,4.6618705039999995,4.666666667
941249,CENTR,113,89,WI18,CSE,8B,927416,Cao,Yingjun,76,67,4.567164179,4.567164179,4.417910448,4.76119403,4.7352941180000006
941270,PCYNH,106,89,WI18,CSE,8B,927418,Cao,Yingjun,136,123,4.528455285,4.528455285,4.25203252,4.723577236000001,4.7295081969999995
941291,PCYNH,109,89,WI18,CSE,8B,927420,Cao,Yingjun,124,105,4.4,4.4,4.009345794,4.6355140189999995,4.638095238
1002201,CSB  ,2,99,WI19,CSE,8B,961420,Cao,Yingjun,81,70,3.942857143,3.942857143,3.685714286,4.442857143,4.647887324
1002222,CSB  ,2,99,WI19,CSE,8B,966909,Cao,Yingjun,74,64,3.875,3.875,3.703125,4.546875,4.625
1002243,CSB  ,2,99,WI19,CSE,8B,966910,Cao,Yingjun,73,62,4.177419355,4.177419355,3.8412698410000004,4.46031746,4.619047619
1002264,CSB  ,2,99,WI19,CSE,8B,966911,Cao,Yingjun,63,48,4.104166667,4.104166667,4.06,4.52,4.54
1002285,CSB  ,2,99,WI19,CSE,8B,966912,Cao,Yingjun,79,60,4.066666667,4.066666667,3.901639344,4.31147541,4.465517241000001
